address,city,country,end_date,event_code,event_type,event_type_string,first_event_code,first_event_id,gmaps_place_id,gmaps_url,key,lat,lng,location_name,name,parent_event_key,playoff_type,playoff_type_string,postal_code,short_name,start_date,state_prov,timezone,website,week,year,district.abbreviation,district.display_name,district.key,district.year
"2501 Country Club Rd, Lake Oswego, OR 97034, USA",Lake Oswego,USA,2019-03-30,orlak,1,District,ORLAK,37490,ChIJCz12nFBzlVQR6qAWLjtjKMo,https://maps.google.com/?cid=14567002100557324522,2019orlak,45.42752039999999,-122.7024808,Lake Oswego Senior High School,PNW District Lake Oswego Event,NA,NA,NA,97034,Lake Oswego,2019-03-28,OR,America/Los_Angeles,http://www.firstwa.org,4,2019,pnw,Pacific Northwest,2019pnw,2019
"1306 12th St, Oregon City, OR 97045, USA",Oregon City,USA,2019-03-16,orore,1,District,ORORE,37482,ChIJgeootM12lVQRTWiESRQ7ApA,https://maps.google.com/?cid=10376921449733843021,2019orore,45.356123,-122.5972761,Clackamas Academy of Industrial Sciences (CAIS),PNW District Clackamas Academy Event,NA,NA,NA,97045,Clackamas Academy,2019-03-14,OR,America/Los_Angeles,http://www.firstwa.org/,2,2019,pnw,Pacific Northwest,2019pnw,2019
"6800 SW Wilsonville Rd, Wilsonville, OR 97070, USA",Wilsonville,USA,2019-03-09,orwil,1,District,ORWIL,37496,ChIJy92woFlulVQRgLRV0QIwcEc,https://maps.google.com/?cid=5147667162744599680,2019orwil,45.30742360000001,-122.747698,Wilsonville High School,PNW District Wilsonville Event,NA,0,Elimination Bracket (8 Alliances),97070,Wilsonville,2019-03-07,OR,America/Los_Angeles,https://ortop.org/,1,2019,pnw,Pacific Northwest,2019pnw,2019
"1500 Commerce St, Tacoma, WA 98402, USA",Tacoma,USA,2019-04-06,pncmp,2,District Championship,PNCMP,37498,ChIJYYFmTXRVkFQR1Y1cbV45ZOQ,https://maps.google.com/?cid=16457342016043126229,2019pncmp,47.248525,-122.4389871,Greater Tacoma Convention Center,Pacific Northwest FIRST District Championship,NA,NA,NA,98402,Pacific Northwest FIRST,2019-04-03,WA,America/Los_Angeles,http://www.firstwa.org,5,2019,pnw,Pacific Northwest,2019pnw,2019
"711 E Main St, Auburn, WA 98002, USA",Auburn,USA,2019-03-31,waahs,1,District,WAAHS,37488,ChIJo0EYp3xYkFQRhcgd9HQrEko,https://maps.google.com/?cid=5337376289699252357,2019waahs,47.3086637,-122.2199762,Auburn High School,PNW District Auburn Event,NA,NA,NA,98002,Auburn,2019-03-29,WA,America/Los_Angeles,http://www.firstwa.org,4,2019,pnw,Pacific Northwest,2019pnw,2019
"28900 124th Ave SE, Auburn, WA 98092, USA",Auburn,USA,2019-03-10,waamv,1,District,WAAMV,37478,ChIJH3-eMzNfkFQRBFmpP21suu0,https://maps.google.com/?cid=17130123349132400900,2019waamv,47.3419907,-122.1719807,Auburn Mountainview High School,PNW District Auburn Mountainview Event,NA,0,Elimination Bracket (8 Alliances),98092,Auburn Mountainview,2019-03-08,WA,America/Los_Angeles,http://www.firstwa.org/,1,2019,pnw,Pacific Northwest,2019pnw,2019
"314 N 9th St, Mt Vernon, WA 98273, USA",Mount Vernon,USA,2019-03-03,wamou,1,District,WAMOU,37484,ChIJGSCaAKhuhVQRefulMyoM2l0,https://maps.google.com/?cid=6762731165844896633,2019wamou,48.4237437,-122.3274673,Mount Vernon High School,PNW District Mount Vernon Event,NA,NA,NA,98273,Mount Vernon,2019-03-01,WA,America/Los_Angeles,http://www.firstwa.org/,0,2019,pnw,Pacific Northwest,2019pnw,2019
"7401 144th Pl SE, Snohomish, WA 98296, USA",Snohomish,USA,2019-03-24,wasno,1,District,WASNO,37480,ChIJh_W0tMUHkFQRCFHurJ1e2ag,https://maps.google.com/?cid=12166859899622281480,2019wasno,47.8687686,-122.1340012,Glacier Peak High School,PNW District Glacier Peak Event,NA,NA,NA,98296,Glacier Peak,2019-03-22,WA,America/Los_Angeles,http://www.firstwa.org/,3,2019,pnw,Pacific Northwest,2019pnw,2019
"8301 E Buckeye Ave, Spokane, WA 99212, USA",Spokane,USA,2019-03-23,waspo,1,District,WASPO,37426,ChIJga0bNJsfnlQRw-U1OU4cNNw,https://maps.google.com/?cid=15867338509425960387,2019waspo,47.68340310000001,-117.292742,West Valley High School,PNW District West Valley Event,NA,NA,NA,99212,West Valley,2019-03-21,WA,America/Los_Angeles,http://www.firstwa.org,3,2019,pnw,Pacific Northwest,2019pnw,2019
"1301 S Fair Ave, Yakima, WA 98901, USA",Yakima,USA,2019-03-16,wayak,1,District,WAYAK,37614,ChIJ6YXgl8nXmVQRItnL8LxUn_k,https://maps.google.com/?cid=17987188607211526434,2019wayak,46.5890932,-120.4864208,State Fair Park - Home of the Yakima Valley SunDome & Central Washington State Fair,PNW District SunDome Event,NA,NA,NA,98901,SunDome,2019-03-14,WA,America/Los_Angeles,http://www.firstwa.org/,2,2019,pnw,Pacific Northwest,2019pnw,2019
