actual_time,comp_level,event_key,key,match_number,post_result_time,predicted_time,set_number,time,winning_alliance,alliances.blue.score,alliances.red.score,score_breakdown.blue.adjustPoints,score_breakdown.blue.autoPoints,score_breakdown.blue.bay1,score_breakdown.blue.bay2,score_breakdown.blue.bay3,score_breakdown.blue.bay4,score_breakdown.blue.bay5,score_breakdown.blue.bay6,score_breakdown.blue.bay7,score_breakdown.blue.bay8,score_breakdown.blue.cargoPoints,score_breakdown.blue.completeRocketRankingPoint,score_breakdown.blue.completedRocketFar,score_breakdown.blue.completedRocketNear,score_breakdown.blue.endgameRobot1,score_breakdown.blue.endgameRobot2,score_breakdown.blue.endgameRobot3,score_breakdown.blue.foulCount,score_breakdown.blue.foulPoints,score_breakdown.blue.habClimbPoints,score_breakdown.blue.habDockingRankingPoint,score_breakdown.blue.habLineRobot1,score_breakdown.blue.habLineRobot2,score_breakdown.blue.habLineRobot3,score_breakdown.blue.hatchPanelPoints,score_breakdown.blue.lowLeftRocketFar,score_breakdown.blue.lowLeftRocketNear,score_breakdown.blue.lowRightRocketFar,score_breakdown.blue.lowRightRocketNear,score_breakdown.blue.midLeftRocketFar,score_breakdown.blue.midLeftRocketNear,score_breakdown.blue.midRightRocketFar,score_breakdown.blue.midRightRocketNear,score_breakdown.blue.preMatchBay1,score_breakdown.blue.preMatchBay2,score_breakdown.blue.preMatchBay3,score_breakdown.blue.preMatchBay6,score_breakdown.blue.preMatchBay7,score_breakdown.blue.preMatchBay8,score_breakdown.blue.preMatchLevelRobot1,score_breakdown.blue.preMatchLevelRobot2,score_breakdown.blue.preMatchLevelRobot3,score_breakdown.blue.rp,score_breakdown.blue.sandStormBonusPoints,score_breakdown.blue.techFoulCount,score_breakdown.blue.teleopPoints,score_breakdown.blue.topLeftRocketFar,score_breakdown.blue.topLeftRocketNear,score_breakdown.blue.topRightRocketFar,score_breakdown.blue.topRightRocketNear,score_breakdown.blue.totalPoints,score_breakdown.red.adjustPoints,score_breakdown.red.autoPoints,score_breakdown.red.bay1,score_breakdown.red.bay2,score_breakdown.red.bay3,score_breakdown.red.bay4,score_breakdown.red.bay5,score_breakdown.red.bay6,score_breakdown.red.bay7,score_breakdown.red.bay8,score_breakdown.red.cargoPoints,score_breakdown.red.completeRocketRankingPoint,score_breakdown.red.completedRocketFar,score_breakdown.red.completedRocketNear,score_breakdown.red.endgameRobot1,score_breakdown.red.endgameRobot2,score_breakdown.red.endgameRobot3,score_breakdown.red.foulCount,score_breakdown.red.foulPoints,score_breakdown.red.habClimbPoints,score_breakdown.red.habDockingRankingPoint,score_breakdown.red.habLineRobot1,score_breakdown.red.habLineRobot2,score_breakdown.red.habLineRobot3,score_breakdown.red.hatchPanelPoints,score_breakdown.red.lowLeftRocketFar,score_breakdown.red.lowLeftRocketNear,score_breakdown.red.lowRightRocketFar,score_breakdown.red.lowRightRocketNear,score_breakdown.red.midLeftRocketFar,score_breakdown.red.midLeftRocketNear,score_breakdown.red.midRightRocketFar,score_breakdown.red.midRightRocketNear,score_breakdown.red.preMatchBay1,score_breakdown.red.preMatchBay2,score_breakdown.red.preMatchBay3,score_breakdown.red.preMatchBay6,score_breakdown.red.preMatchBay7,score_breakdown.red.preMatchBay8,score_breakdown.red.preMatchLevelRobot1,score_breakdown.red.preMatchLevelRobot2,score_breakdown.red.preMatchLevelRobot3,score_breakdown.red.rp,score_breakdown.red.sandStormBonusPoints,score_breakdown.red.techFoulCount,score_breakdown.red.teleopPoints,score_breakdown.red.topLeftRocketFar,score_breakdown.red.topLeftRocketNear,score_breakdown.red.topRightRocketFar,score_breakdown.red.topRightRocketNear,score_breakdown.red.totalPoints,blue.robot1,blue.robot2,blue.robot3,red.robot1,red.robot2,red.robot3,district
1553983811,f,2019orlak,2019orlak_f1m1,1,1553984054,1553983804,1,1553981760,blue,69,65,0,15,Panel,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,Panel,Panel,24,FALSE,FALSE,FALSE,HabLevel1,HabLevel3,HabLevel1,1,0,18,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,12,PanelAndCargo,PanelAndCargo,Panel,PanelAndCargo,None,None,None,None,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,54,None,None,None,None,69,0,15,Panel,Panel,Panel,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,21,FALSE,FALSE,FALSE,None,HabLevel3,None,0,3,12,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,14,PanelAndCargo,Panel,PanelAndCargo,None,None,None,None,None,Panel,Panel,Cargo,Cargo,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,47,None,None,None,None,65,frc2471,frc3674,frc5198,frc4043,frc4488,frc4110,pnw
1553984775,f,2019orlak,2019orlak_f1m2,2,1553985134,1553984886,1,1553982180,red,79,80,0,15,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,30,FALSE,FALSE,FALSE,HabLevel1,HabLevel3,HabLevel1,1,6,18,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,10,PanelAndCargo,None,PanelAndCargo,Panel,None,None,None,None,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,58,None,None,None,None,79,0,15,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,30,FALSE,FALSE,FALSE,HabLevel1,HabLevel3,HabLevel1,2,3,18,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,14,PanelAndCargo,Panel,PanelAndCargo,None,None,None,None,None,Panel,Panel,Cargo,Cargo,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,62,None,None,None,None,80,frc2471,frc3674,frc5198,frc4043,frc4488,frc4110,pnw
1553985767,f,2019orlak,2019orlak_f1m3,3,1553985997,1553985803,1,1553982600,red,63,73,0,15,Panel,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,Panel,PanelAndCargo,PanelAndCargo,24,FALSE,FALSE,FALSE,HabLevel2,HabLevel1,HabLevel1,1,0,12,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,12,PanelAndCargo,None,PanelAndCargo,None,Panel,None,Panel,None,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,48,None,None,None,None,63,0,15,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,30,FALSE,FALSE,FALSE,HabLevel1,HabLevel1,HabLevel1,0,3,9,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,16,PanelAndCargo,Panel,PanelAndCargo,Panel,None,None,None,None,Panel,Panel,Cargo,Cargo,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,55,None,None,None,None,73,frc2471,frc3674,frc5198,frc4043,frc4488,frc4110,pnw
1553974555,qf,2019orlak,2019orlak_qf1m1,1,1553974867,1553974682,1,1553974200,red,55,70,0,9,PanelAndCargo,PanelAndCargo,PanelAndCargo,None,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,24,FALSE,FALSE,FALSE,None,HabLevel1,HabLevel1,1,6,6,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,10,Panel,None,PanelAndCargo,Panel,None,None,None,None,Panel,Panel,Panel,Cargo,Panel,Panel,HabLevel1,HabLevel1,HabLevel1,0,9,0,40,None,None,None,None,55,0,15,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,Panel,PanelAndCargo,PanelAndCargo,PanelAndCargo,21,FALSE,FALSE,FALSE,None,HabLevel3,HabLevel1,2,3,15,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,16,Panel,Panel,Panel,Panel,None,None,None,None,Panel,Panel,Cargo,Cargo,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,52,None,None,None,None,70,frc5468,frc6343,frc5450,frc4043,frc4488,frc4110,pnw
1553976347,qf,2019orlak,2019orlak_qf1m2,2,1553976563,1553976369,1,1553975880,red,60,82,0,12,PanelAndCargo,PanelAndCargo,PanelAndCargo,None,None,PanelAndCargo,PanelAndCargo,PanelAndCargo,18,FALSE,FALSE,FALSE,None,HabLevel1,HabLevel1,4,18,6,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,6,Panel,None,None,Panel,None,None,None,Panel,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel2,HabLevel1,HabLevel1,0,12,0,30,None,None,None,None,60,0,15,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,Panel,Panel,21,FALSE,FALSE,FALSE,HabLevel1,HabLevel3,HabLevel1,6,12,18,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,16,Panel,Panel,PanelAndCargo,Panel,None,None,None,None,Panel,Panel,Cargo,Cargo,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,55,None,None,None,None,82,frc5468,frc6343,frc5450,frc4043,frc4488,frc4110,pnw
1553975068,qf,2019orlak,2019orlak_qf2m1,1,1553975261,1553975043,2,1553974620,blue,67,47,0,12,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,None,None,None,Panel,15,FALSE,FALSE,FALSE,HabLevel3,HabLevel2,HabLevel2,0,6,24,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,10,None,None,Panel,PanelAndCargo,None,None,None,None,Panel,Panel,Cargo,Cargo,Cargo,Cargo,HabLevel1,HabLevel2,HabLevel1,0,12,0,49,None,None,None,None,67,0,15,Panel,Panel,Panel,PanelAndCargo,PanelAndCargo,PanelAndCargo,Panel,Panel,9,FALSE,FALSE,FALSE,None,HabLevel1,HabLevel2,2,0,9,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,14,None,Panel,Panel,Panel,None,Panel,None,None,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,32,None,Panel,None,None,47,frc4057,frc2811,frc957,frc2521,frc6465,frc1432,pnw
1553976791,qf,2019orlak,2019orlak_qf2m2,2,1553977360,1553977149,2,1553976300,blue,79,55,0,12,PanelAndCargo,PanelAndCargo,None,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,27,FALSE,FALSE,FALSE,HabLevel3,HabLevel2,HabLevel2,0,0,24,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,16,Panel,PanelAndCargo,Panel,PanelAndCargo,None,None,None,None,Panel,Panel,Cargo,Cargo,Panel,Cargo,HabLevel1,HabLevel2,HabLevel1,0,12,0,67,None,None,None,None,79,0,15,Panel,PanelAndCargo,Panel,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,Panel,18,FALSE,FALSE,FALSE,HabLevel1,HabLevel1,HabLevel2,0,0,12,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,10,None,Panel,Panel,PanelAndCargo,None,None,None,None,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,40,None,None,None,None,55,frc4057,frc2811,frc957,frc2521,frc6465,frc1432,pnw
1553975450,qf,2019orlak,2019orlak_qf3m1,1,1553975684,1553975485,3,1553975040,red,58,78,0,9,Panel,PanelAndCargo,PanelAndCargo,PanelAndCargo,None,PanelAndCargo,Panel,PanelAndCargo,21,FALSE,FALSE,FALSE,HabLevel1,HabLevel2,HabLevel1,0,6,12,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInTeleop,CrossedHabLineInSandstorm,10,None,PanelAndCargo,Panel,PanelAndCargo,None,None,None,Panel,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel2,HabLevel2,HabLevel1,0,9,0,43,None,None,None,None,58,0,15,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,30,FALSE,FALSE,FALSE,HabLevel2,HabLevel3,HabLevel1,2,0,21,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,12,None,PanelAndCargo,None,PanelAndCargo,None,Panel,None,Panel,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,63,None,None,None,None,78,frc955,frc4662,frc2898,frc2471,frc3674,frc5198,pnw
1553978901,qf,2019orlak,2019orlak_qf3m2,2,1553979142,1553978942,3,1553976720,red,38,106,0,15,PanelAndCargo,PanelAndCargo,PanelAndCargo,None,None,Panel,Panel,Panel,9,FALSE,FALSE,FALSE,HabLevel1,None,HabLevel1,3,0,6,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,8,None,Panel,None,Panel,None,None,None,Panel,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel2,HabLevel2,HabLevel1,0,15,2,23,None,None,None,Panel,38,0,15,Panel,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,27,FALSE,FALSE,FALSE,HabLevel2,HabLevel3,HabLevel1,0,29,21,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,14,Panel,Panel,Panel,None,None,PanelAndCargo,None,PanelAndCargo,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,62,None,None,None,None,106,frc955,frc4662,frc2898,frc2471,frc3674,frc5198,pnw
1553975888,qf,2019orlak,2019orlak_qf4m1,1,1553976147,1553975943,4,1553975460,red,59,73,0,12,PanelAndCargo,Panel,PanelAndCargo,PanelAndCargo,None,Panel,PanelAndCargo,Panel,12,FALSE,FALSE,FALSE,None,HabLevel1,HabLevel1,0,9,6,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,20,Panel,Panel,Panel,Panel,Panel,None,Panel,Panel,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel1,HabLevel2,HabLevel1,0,12,0,38,Panel,None,None,Panel,59,0,15,PanelAndCargo,PanelAndCargo,PanelAndCargo,None,PanelAndCargo,PanelAndCargo,PanelAndCargo,PanelAndCargo,30,FALSE,FALSE,FALSE,HabLevel1,HabLevel3,HabLevel1,3,0,18,FALSE,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,CrossedHabLineInSandstorm,10,PanelAndCargo,PanelAndCargo,PanelAndCargo,Panel,None,None,None,None,Panel,Panel,Panel,Panel,Panel,Panel,HabLevel1,HabLevel2,HabLevel2,0,15,0,58,None,None,None,None,73,frc2733,frc997,frc5970,frc6445,frc6443,frc1510,pnw
