address,city,country,gmaps_place_id,gmaps_url,key,lat,lng,location_name,motto,name,nickname,postal_code,rookie_year,state_prov,team_number,website,home_championship.2017,home_championship.2018,district
NA,Seattle,USA,NA,NA,frc1258,NA,NA,NA,NA,The Boeing Company/SPEEA/Aerospace Joint Apprenticeship Committee&Seattle Lutheran High School,SeaBot,98116,2004,Washington,1258,http://www.seattlelutheran.org/events/robotics/robotics.html,Houston,Houston,pnw
NA,Sammamish,USA,NA,NA,frc1294,NA,NA,NA,NA,Lake Washington Schools Foundation/Microsoft/donuts/FIRSTWA/SAE NW Section/OSPI/Eastlake Robotics Family Members/Eastlake High School&Eastlake High School,Top Gun,98074,2004,Washington,1294,http://www.team1294.org,Houston,Houston,pnw
NA,Issaquah,USA,NA,NA,frc1318,NA,NA,NA,NA,The Boeing Company/State of Washington OSPI/Issaquah Schools Foundation&Issaquah High School,Issaquah Robotics Society,98027,2004,Washington,1318,http://www.team1318.org,Houston,Houston,pnw
NA,Lebanon,USA,NA,NA,frc1359,NA,NA,NA,NA,Linn Benton Community College/Oregon Dept of Education/Matthews International Inc./IBEW Local 280/Lebanon High School/HyTek Plastics/Weyerhaeuser Giving Fund&Venture Crew 308,Scalawags,97355,2004,Oregon,1359,http://www.scalawags.org,Houston,Houston,pnw
NA,Wilsonville,USA,NA,NA,frc1425,NA,NA,NA,NA,Lam Research/3D Systems/Xerox/DW Fritz/Rockwell Collins/TE Connectivity/Mentor Graphics/A-dec/City Of Wilsonville/Shields Manufacturing/Oregon Technology/Apex Plastics&Wilsonville High School,Error Code Xero,97070,2004,Oregon,1425,http://www.wilsonvillerobotics.com,Houston,Houston,pnw
NA,Portland,USA,NA,NA,frc1432,NA,NA,NA,NA,Knights of Pythias Ivanhoe Lodge No. 1/S.E. Portland Rotary/The Boeing Company/Free Geek/Walmart&Explorer Post 89,Metal Beavers,97206,2004,Oregon,1432,http://team1432.com,Houston,Houston,pnw
NA,Beaverton,USA,NA,NA,frc1510,NA,NA,NA,NA,Intel/Microsoft Azure/Oregon Dept of Education (ODE)/Tektronix/Autodesk/First Tech Credit Union/iQ Credit Union/Maxim/Microsoft/PWC/Portland Community College/BPS Robotics&Westview High School,Wildcats,97229,2005,Oregon,1510,http://www.bpsrobotics.org/1510,Houston,Houston,pnw
NA,Portland,USA,NA,NA,frc1540,NA,NA,NA,NA,Catlin Gabel School/Autodesk/Elemental/Carollo&Catlin Gabel School,Flaming Chickens,97225,2005,Oregon,1540,http://www.team1540.org/,Houston,Houston,pnw
NA,Gresham,USA,NA,NA,frc1571,NA,NA,NA,NA,The Boeing Company/Oregon Dept of Education/MicroChip/Autodesk/Benchmade Knife&Center for Advanced Learning,CALibrate Robotics,97030,2005,Oregon,1571,http://team1571.org,Houston,Houston,pnw
NA,Spokane,USA,NA,NA,frc1595,NA,NA,NA,NA,Pearson Packaging Systems/American Alloy/FirstWashington/Google/Haskins Steel/F5 Networks/Dove Printing/Avista/Alaska Airlines/Boeing/Applied industrial Technologies & St George's School,The Dragons,99208,2005,Washington,1595,http://www.1595dragons.org/,Houston,Houston,pnw
